2.2.0;other
6.2.0;other
(mostly) back-end;component
:bulb: Enhancement;enhancement
:bulb: feature;enhancement
:bulb: idea;discussion
:Data Management/Ingest Node;component
?? bug;bug
?? days;other
?? Feature;enhancement
?? L10N;component
?? Scope : Project;component
?? Status: Ready for Next Release;status_addressed
?? Type: Feature;enhancement
?? waiting;status_waiting
[C] Backend;component
[Closed] Duplicate;duplicate
[Focus] Privacy;privacy
[master];other
[P] Minor;severity_low
[Pri] High;severity_high
[Pri] Medium;severity_medium
[Pri] Normal;severity_medium
[Priority: HIGH];severity_high
[priority] high;severity_high
[S] Easy;other
[Status] Accepted;status_working
[Status] Invalid;invalid
[Status] Needs GDPR Review;privacy
[Status] Queued;status_waiting
[Type] Bug;bug
[Type] Enhancement;enhancement
[Type] Feature Request;enhancement
[Type] Good First Bug;other
>enhancement;enhancement
0 - task;task
0. Needs triage;status_triage
01 type: bug;bug
1. to develop;other
1.7.8.6;other
13.0;other
2️⃣;other
2. Collectors;component
3 - to review;status_qa
3rd party compatibility;other
4. Storage;component
4. to release;status_addressed
A BUG;bug
a: stats;component
A11y;other
AC;other
Accessibility;component
accounts;component
acknowledged;status_working
adapter support;component
add;enhancement
addition: feature;enhancement
administrative;other
A-Documentation;documentation
ads;other
Affected/5.4.0;other
Affected/5.5.0-Alpha;other
Affected/5.5.0-Beta;other
Affected/5.7.0;other
affects/v4;other
A-frontend;component
all users;other
Analytics;component
anonymization;privacy
anonymous-consent;privacy
answered;status_addressed
api;component
api issue;component
api: firestore;component
A-Push;component
area/component;component
area/documentation;documentation
area/UI-UX;component
area/compliance;other
area: docs-infra;documentation
Area: Security;team
A-Read-Receipts;component
Area-Input;component
area-security;team
A-Redaction;other
A-Room-Settings;component
assigned-to-author;status_working
A-Timeline;component
A-User-Settings;component
awaiting-review;status_qa
Azure-Monitor/svc;component
backend;component
BankID;other
BBC;other
BC-BREAK;other
beginner job ??;other
blocked;status_waiting
blocker;status_waiting
Blocking Next Release;status_waiting
BO;other
bounty-m;other
BPS;other
browser-extension;component
bug;bug
Bug;bug
bug: pending;bug
Bug :bug:;bug
bug :bug:;bug
bug report;bug
c: Privacy;privacy
cat: mod QAGAME;component
C-bug ??;bug
CELA;other
Changelog: Needs Doc;documentation
